Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
National,,14865,53,87,439,1269,8.5,72.2,21.6,6.2,2.9,2.8,2.7,3.5,3.8,3.3,0.7,52.7,49.5,0.7,32981,2.2,565213842.1,38007.79,3220,0.2,23,12.6,1.7,2.6,76.7,76.3,79.8,1.84,1.19,14.7,3.4,7.8,2.2,1.3,15.4,14.1,94.8,92,0.1,48.5,5.9,8.9,19.4,10.6,43.2,11
A&M HEALTHCARE INVESTMENTS,641,2,2,0,0,0,0,50,50,0,2,2.5,1,2.5,3.4,3.1,0.5,68,85.7,1,13,6.5,369315.74,184657.87,3,1.5,19.9,4.9,0,8.1,88.6,88.9,94.2,3.07,1.62,19.3,3.2,10.2,0.7,2.2,14.7,15.4,96.5,99.7,0,40.1,9.3,3.2,39.1,10.3,24.5,0
"ABBY GL, LLC",1,6,1,0,1,2,33.3,100,0,0,2.3,2,3.3,4.2,4.1,3.7,0.5,40.9,41,1.5,6,1,103298.75,17216.46,1,0.2,24.7,12.7,1,0.9,86.7,99.9,99.8,2.46,1.43,4.8,1.6,5.7,0.6,0.6,7.1,4,99.8,100,0.4,21,2.4,3,18.8,10.6,37,8.8
ABCM CORPORATION,2,29,1,0,0,0,0,100,0,0,4,4,3.4,3.1,3.7,3.2,0.6,46.9,43.2,1.1,11,0.4,88950.7,3067.27,2,0.1,20.4,10.1,2.4,1.7,86.5,74.5,90.1,1.4,1.43,22,3.6,5.4,4.1,2.7,19.3,15.5,96.8,97.2,0,48.1,4.6,3.6,19,10.1,64,14.6
ABLEHEARTS,3,15,4,0,0,1,6.7,20,80,0,1.9,2.1,1.4,3.5,3.4,3,0.5,63.9,64,1.1,60,4,2001043.44,133402.9,14,0.9,27.3,13.5,1.7,1.6,80.3,63.8,72.5,2.11,1.23,12.3,2.6,7.9,1.2,0.7,12,10.6,90.6,92,0,55.7,5.3,11.8,17.3,11.7,41.8,17.1
ABRAHAM BAK & MENACHEM GASTWIRTH,4,13,1,0,0,1,7.7,100,0,0,2.8,2.2,3.2,4.5,4.4,4,0.3,46.9,42.7,0.6,14,1.1,207093.26,15930.25,1,0.1,25.5,8.1,2.6,0.9,92,99,98.4,2.33,0.76,11.7,1.4,8.8,1.2,0.7,6.1,8.1,99.7,99.5,0.1,28,5.2,9.7,15.3,11.2,41.1,10.1
ABRAHAM KRAUS,615,11,3,0,0,0,0,100,0,0,2.7,2.8,2.6,3.2,3.5,3.2,0.5,49.5,51.6,0.6,22,2,241186.19,21926.02,1,0.1,24.8,9.5,2,1.9,74.1,73.1,76.3,1.96,0.67,14.4,1.4,8.4,1,0.9,17,15.5,96.7,92.3,0,45.1,6.7,7.7,19.7,11.3,31.1,8.4
ABRAHAM SMILOW,662,8,2,0,0,0,0,75,12.5,12.5,2.1,2.3,2,3.3,3.5,3.2,0.7,58.3,53.2,0.8,12,1.5,224234.21,28029.28,1,0.1,23.6,11.5,1.1,3.2,84.5,53.7,51.2,1.61,0.99,19.1,3.5,8.5,2.1,1.4,14.9,14.6,88.1,74,0,59.8,8.5,2.8,17.9,10.8,40.3,8.4
ABRI HEALTH CARE,5,10,1,0,0,1,10,100,0,0,1.7,2,1.3,3.3,3.3,2.8,0.4,56.1,66.5,0.7,23,2.3,491814.6,49181.46,3,0.3,26.9,11,1.9,2.2,68.4,57.6,63.4,1.88,1.4,6.9,3.4,7.6,0.5,1,14.4,12.7,92.5,86.6,0,65.6,6.7,3.9,24.8,11.1,18.5,0.7
ABSOLUT CARE,6,7,1,0,0,0,0,100,0,0,2.6,2.9,1.3,4,3.2,2.6,0.5,59.2,59.9,0.9,4,0.6,57172.58,8167.51,0,0,22.1,13.5,1.1,4.4,86.2,65.8,53.1,1.14,0.97,14.9,3.1,8.5,1.4,0.4,10.7,12.1,94.1,84,0,52.1,6.3,1.2,14.9,10.3,58.9,26.5
